Chinese; English
京都外国语大学; Kyoto University of Foreign Studies
巴黎科学艺术人文大学; Université Paris Sciences et Lettres
都柏林三一学院; Trinity College Dublin
法赫德国王石油和矿物大学（KFUPM）; King Fahd University of Petroleum and Minerals
切尔西艺术与设计学院; Chelsea College of Arts
伦敦艺术大学中央圣马丁艺术与设计学院; Central Saint Martins, University of the Arts London
康斯特大学; Constructor University
巴黎政治学院; Paris Institute of Political Studies
广岛大学; Hiroshima University
香港高等教育科技学院 （THEi高科院）; The Technological and Higher Education Institute of Hong Kong
东华学院; Tung Wah College
纽约大学坦登工程学院; NYU Tandon School of Engineering
伍斯特大学; University of Worcester
爱丁堡玛格丽特女王大学; Queen Margaret University Edinburgh
阿伯泰大学; Abertay University
约克圣约翰大学; York St John University
匈牙利佩奇大学医学院; University of Pecs Medical School 
蒙特爱立森大学; Mount Allison University
卡罗林斯卡学院; Karolinska InstituteSweden
艾米丽卡尔艺术与设计大学; Emily Carr University of Art + Design
巴黎高等商学院--意大利博科尼大学双学位; HEC Paris and Bocconi University
弗林德斯大学; Flinders University
提塞德大学; Teesside University
阿联酋默罕默德本扎伊德人工智能大学; 阿联酋默罕默德本扎伊德人工智能大学
康涅狄格大学斯坦福德校区; University of Connecticut，Stamford
米兰理工大学; Polytechnic University of Milan
浦项科技大学; Vienna University of Technology
伦敦艺术大学伦敦时装学院; London College of Fashion
马来西亚南安普顿大学; University of Southampton Malaysia
德国EBS商学院; EBS Business School
欧洲设计学院; Istituto Europeo di Design
IE大学; IE University
加拿大航空学院; Canadian Aviation College
北海道大学; Hokkaido University
菲莎国际学院; Fraser International College
上海温哥华电影学院; Shanghai Vancouver Film School
韩国外国语大学; Hankuk University of Foreign Studies
拓殖大学; Takushoku University
赫瑞瓦特大学马来西亚分校; Heriot-Watt University Malaysia
沙迦美国大学; American University of Sharjah
瑞士蒙特勒酒店工商管理大学; 瑞士蒙特勒酒店工商管理大学
青山学院大学; Aoyama Gakuin University
哈特伯瑞学院; Hartpury College
詹姆斯·库克大学新加坡校区; James Cook University, Singapore Campus
法国高等信息工程师学院; École d'Ingénieurs en Informatique
西班牙艾赛德商学院; ESADE Business School
索尔福德大学; University of Salford
伍伦贡大学马来西亚校区; University of Wollongong
萨斯喀彻温大学; University of Saskatchewan
亚利桑那州立大学菲尼克斯（凤凰城）; University of Arizona--Phoenix
利物浦表演艺术学院; The Liverpool Institute for Performing Arts
伦敦传媒学院; London College of Communication
伦敦艺术大学-温布尔登艺术学院; Wimbledon College of Arts
BI挪威商学院; BI Norwegian Business School
拉德堡德大学; Radboud University
帕萨迪纳城市学院; Pasadena City College
法国时尚学院; Institut Français de la Mode
西悉尼大学; Western Sydney University
英属哥伦比亚大学奥卡那根分校 ; okanagan  college 
海牙应用科学大学; The Hague University of Applied Science
戴维斯大学; Davis University
雅典大学; University of Athens
霍利奥克社区学院; Holyoke Community College
一桥大学; Hitotsubashi University
长崎大学; Nagasaki University
东京科学大学; Institute of Science Tokyo
横滨国立大学; Yokohama National University
日本湖滨大学; Lakeland University Japan
东京福祉大学; Tokyo University of Social Welfare
山形大学; Yamagata University
东京电机大学; Tokyo Denki University
神户大学; Kobe University
岛根大学; Shimane University
樱美林大学; J.F.Oberlin University
乐卓博大学; La Trobe University
斯威本科技大学; Swinburne University of Technology
匈牙利德布勒森大学; University of Debrecen
欧柏林音乐学院; Oberlin Conservatory of Music
建国大学; Konkuk University
新加坡艺术学院; School of the Arts, Singapore
千叶大学院; Chiba University
亚琛应用技术大学; Fachhochschulen Aachen
温哥华岛大学; Vancouver Island University
瓦岱勒国际酒店管理学院; INTERNATIONAL SCHOOL OF HOSPITALITY AND TOURISM MANAGEMENT
巴黎豪华酒店学校; Luxury Hotelschool Paris
东北大学Immerse项目; Northeastern University
迪拜伍伦贡大学; University of Wollongong in Dubai
穆罕默德·本·扎耶德人工智能大学; Mohamed bin Zayed University of Artificial Intelligence
墨尔本大学圣三一学院; Trinity College, The University of Melbourne
英美大学; Anglo-American University (Czech)
斯图加特大学; Baden-Wuerttemberg Stuttgart
EHL 酒店管理商学院‌帕苏格校区; EHL Hotel School Passugg
新加坡莱佛士音乐学院; Singapore Raffles Music College
东北大学奥克兰分校; Northeastern University Oakland Campus
澳大利亚托伦斯大学; Torrens University Australia
蒂尔堡大学; Tilburg University
橘郡海岸学院; Orange Coast College
多特蒙德国际管理学院; International School of Managemen
仁荷大学; Inha University
日本立命馆大学与澳大利亚国立大学双学位; 日本立命馆大学与澳大利亚国立大学双学位
兰卡斯特大学莱比锡校区; Lancaster University, Leipzig
温哥华拉萨尔学院; LaSalle College Vancouver
加州大学圣芭芭拉分校桥梁项目; University of California, Santa Barbara Connect Program
马来西亚雷丁大学; University of Reading Malasia
格鲁斯特大学; University of Gloucestershire
新加坡科技设计大学; Singapore University of Technology and Design
罗斯布鲁弗戏剧演艺学院; Rose Bruford College of Theatre & Performance
慕尼黑商学院; MBS
华威商学院; Warwick Business School
伯克利波士顿音乐学院; The Boston Conservatory at Berklee
香港大学－加州大学伯克利分校联合双学位; The Dual Degree Program between the University of California, Berkeley and the University of Hong Kong 
名古屋工业大学; Nagoya Institute of Technology
金泽大学; Kanazawa University
巴黎文理研究大学; Paris Sciences & Lettres-PSL University
美国曼彻斯特大学; Manchester University 
查尔斯特大学; Charles Sturt University
伦敦大学城市圣乔治; City St George’s, University of London
上海财经大学国际教育学院; SUFE-International Education College
埃尔金社区学院; Elgin Community College
南十字星大学; Southern Cross University
维多利亚大学; Victoria University, Melbourne, Australia
米兰工业设计学院; SPD
芬兰图尔库大学; University of Turku
韦仕敦大学休伦大学学院; Huron University College at Western University
意大利卡托利卡大学; Università Cattolica del Sacro Cuore
菲莎河谷大学; University of the Fraser Valley
芬兰奥卢大学; University of Oulu
坦佩雷大学; University of Tampere
伯克利音乐学院西班牙校区; Berklee Valencia
方提斯大学（荷兰应用科学大学）; Fontys University of Applied Sciences
西澳大学学院; UWA College
皇家戏剧艺术学院; Royal Academy of Dramatic Arts
巴黎艺术学院-爱默生学院; Paris Collegeof Art&EmersonCollege
东京都立大学; Tokyo Metropolitan University
马耳他大学; L-Università ta' Malta
东吴大学; Soochow University
台湾中兴大学; Chung Hsing University
元智大学; Yuan Ze University
逢甲大学; Feng Chia University
台湾海洋大学; National Taiwan Ocean University
旧金山艺术学院; San Francisco Art Institute
斯德哥尔摩经济学院; Stockholm School of Economics
